handle,name,category,notes
Piyasena,Elon Musk,tech_executive,Already tracked as elonmusk
naval,Naval Ravikant,investor,AngelList founder - tech and crypto sentiment
paulg,Paul Graham,investor,YCombinator - startup and tech signals
Jason,Jason Calacanis,investor,LAUNCH fund - tech startup signals
chamath,Chamath Palihapitiya,investor,Social Capital - vocal about positions - SPAC king
david_sacks,David Sacks,investor,Craft Ventures - tech policy and AI signals
pmarca,Marc Andreessen,investor,a16z - tech and policy signals
bgurley,Bill Gurley,investor,Benchmark - IPO and tech market signals
GavinsBaker,Gavin Baker,investor,Atreides Management - tech fund
jtrades,Josh Young,investor,Bison Interests - energy focused
PeterLBrandt,Peter Brandt,trader,Veteran commodity and crypto chart trader
TuurDemeester,Tuur Demeester,crypto,Bitcoin research - longer term crypto signals
woonomic,Willy Woo,crypto,Bitcoin on-chain analyst
100trillionusd,PlanB,crypto,Bitcoin S2F model creator
DocumentingBTC,DocumentingBitcoin,crypto,Bitcoin news aggregator
WClementeIII,Will Clemente,crypto,Bitcoin on-chain data
IncomeSharks,IncomeSharks,trader,Options flow and unusual activity
FlowAlgo,FlowAlgo,trader,Options order flow signals
unusual_whales,Unusual Whales,trader,Options and congressional trade tracker
spotgamma,SpotGamma,trader,Options gamma exposure - market structure signals
dharmatrader,Larry Williams,trader,Veteran futures trader
TBradford_SF,Todd Bradford,trader,Macro and options commentary
TastyTrade,tastyworks,trader,Options education - retail sentiment gauge
MarketWatch,MarketWatch,media,Breaking financial news
WSJmarkets,WSJ Markets,media,Wall Street Journal markets desk
FT,Financial Times,media,Breaking global financial news
markets,Bloomberg Markets,media,Bloomberg breaking markets
FortuneMagazine,Fortune,media,Business news and CEO profiles
Convertbond,Convertbond,analyst,Convertible bond market - credit signals
creditstrategy,Credit Strategy,analyst,Credit market analyst
LizAnnSonders,Liz Ann Sonders,analyst,Schwab chief investment strategist
MikeWilsonMS,Mike Wilson,analyst,Morgan Stanley chief equity strategist - bearish calls
TomLeeETF,Tom Lee,analyst,Fundstrat - bullish market strategist
demarco_joe,Joe DeMarco,analyst,Technical analyst
Macro_Alf,Alfonso Peccatiello,macro,The Macro Compass - rates and macro
MacroVoices,MacroVoices,macro,Macro podcast - institutional macro commentary
hkuppy,Harris Kupperman,macro,Praetorian Capital - commodity and macro trader
quant_arb,Quantitative Arbitrage,trader,Quant strategies commentary
OnePlus2020,Mark Minervini,trader,US Investing Championship winner - momentum trader
Invest_Foresight,Wayne Himelsein,trader,Logica Funds - volatility strategies
zerohedge,ZeroHedge,media,Often first on breaking financial stress news
TruthGundlach,Jeffrey Gundlach alt,macro,Secondary Gundlach account
KobeissiLetter,The Kobeissi Letter,analyst,Capital markets analysis newsletter
KantarCNBC,Ylan Mui,media,CNBC Fed reporter - policy signals
GRDecter,Guy Adami,media,Fast Money CNBC trader
KaraSwisher,Kara Swisher,media,Tech journalist - breaking tech CEO news
benedictevans,Benedict Evans,analyst,Already listed above
WalterBloomberg,Walter Bloomberg,media,Bloomberg headline aggregator - instant news
lisaabramowicz1,Lisa Abramowicz,media,Bloomberg - credit and rates commentary
tracyalloway,Tracy Alloway,media,Bloomberg Odd Lots - market structure
TheStalwart,Joe Weisenthal,media,Bloomberg Odd Lots co-host
JohnStossel,John Stossel,media,Skip - political not financial
pete_najarian,Pete Najarian,trader,Options unusual activity spotter
jonjonah,Jon Najarian,trader,Options unusual activity - market maker insights
JimBianco,Jim Bianco,macro,Bianco Research - rates and macro
danmangan,Dan Mangan,media,CNBC reporter
RobertKiyosaki,Robert Kiyosaki,investor,Rich Dad Poor Dad - gold and crypto sentiment
mikenovogratz,Mike Novogratz,crypto,Galaxy Digital CEO - institutional crypto
GrayscaleBTC,Grayscale,crypto,Bitcoin trust - institutional crypto flows
coinbasedevs,Coinbase,tech_executive,Already tracked as brian_armstrong
quiver_quant,Quiver Quantitative,congressional,SUSPENDED on X - skip
capitoltrades,Capitol Trades,congressional,Congressional STOCK Act disclosure aggregator - posts every disclosed trade
realDonaldTrump,Donald Trump,policy,US President - tariff announcements and trade policy move entire sectors immediately
POTUS,POTUS (official),policy,Official White House account - executive orders and policy statements
ScottBessent,Scott Bessent,policy,US Treasury Secretary - dollar policy rates and debt commentary move TLT and XLF
